customer_id,age,customer_tenure_years,annual_income,average_account_balance,monthly_spending,transaction_count,average_transaction_amount_x,recency_days,debit_ratio,credit_ratio,digital_usage_score,mobile_app_login_frequency,digital_transaction_ratio,products_held,engagement_score,spending_trend,total_transaction_amount,average_transaction_amount_y,median_transaction_amount,transaction_count_actual,active_months,last_transaction_date,first_transaction_date,debit_transactions,credit_transactions,transaction_amount_std,transactions_per_active_month,debit_ratio_actual,credit_ratio_actual,recency_days_actual,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,products_held_actual,product_categories_held,product_value_total,product_value_average,loan_products,investment_products,insurance_products,credit_card_products,campaigns_received,campaign_interactions,campaigns_opened,campaigns_clicked,campaigns_converted,campaign_open_rate,campaign_click_rate,campaign_conversion_rate,recommendations_received,average_suitability_score,recommendations_accepted,recommendations_converted,recommendation_acceptance_rate,recommendation_conversion_rate,high_value_transactions,monthly_income,balance_to_income_ratio,spending_to_income_ratio,transaction_value_to_income_ratio,product_penetration,high_value_transaction_ratio,digital_activity_index,relationship_depth_score,customer_value_index
C000001,22,6.5,153580,237304,8123.64,50,183.03,1.2,0.802,0.198,0.724,17.0,0.48,3,0.738,0.119,7717.03,154.3406,127.515,50,4,2026-08-28,2026-05-21,44,6,78.36699842720655,12.5,0.88,0.12,1,50,7717.03,5,4,5,14,3,3,137848.99,45949.66333333333,0,0,1,1,6,6,4,2,1,0.6666666666666666,0.5,0.5,5,0.5178,2,1,0.4,0.5,0,12798.333333333334,1.5451491079567652,0.6347420237010027,0.05024762338846204,0.375,0.0,0.6157999999999999,0.5214000000000001,0.6719166666666667
C000002,22,2.0,40691,198154,1694.73,41,100.0,1.8,0.686,0.314,0.578,2.0,0.398,3,0.604,0.112,1944.67,47.430975609756096,40.0,41,4,2026-08-27,2026-03-20,29,12,12.455686613928203,10.25,0.7073170731707317,0.2926829268292683,2,41,1944.67,5,3,2,10,3,3,117694.7,39231.566666666666,0,0,1,1,4,4,1,0,0,0.25,0.0,0.0,4,0.33099999999999996,1,0,0.25,0.0,0,3390.9166666666665,4.869725492123566,0.4997852104888059,0.04779115774987098,0.375,0.0,0.37960000000000005,0.48120000000000007,0.15283333333333332
C000003,56,3.3,76144,118768,3134.01,38,100.27,4.4,0.722,0.278,0.488,18.0,0.513,2,0.504,0.181,3544.19,93.26815789473685,81.435,38,4,2026-08-25,2026-04-10,30,8,51.25199797583442,9.5,0.7894736842105263,0.21052631578947367,4,38,3544.19,5,3,3,11,2,2,39471.64,19735.82,0,0,0,1,7,7,5,1,0,0.7142857142857143,0.2,0.0,2,0.29400000000000004,2,0,1.0,0.0,0,6345.333333333333,1.5597814666946836,0.49390785879386434,0.04654588674091196,0.25,0.0,0.5278499999999999,0.4012,0.3531666666666667
C000004,47,6.9,230937,791865,8689.07,48,204.95,3.7,0.715,0.285,0.847,15.0,0.568,3,0.612,0.064,8257.62,172.03375000000003,143.6,48,5,2026-08-26,2026-04-09,36,12,95.22454890046932,9.6,0.75,0.25,3,48,8257.62,5,4,5,14,3,3,250331.94,83443.98,0,1,1,1,5,5,3,1,0,0.6,0.3333333333333333,0.0,2,0.727,0,0,0.0,0.0,0,19244.75,3.4289221735798074,0.4515033970303589,0.03575702464308448,0.375,0.0,0.67315,0.5211,0.9006666666666666
C000005,21,7.7,194430,1379040,4374.95,57,100.0,21.0,0.566,0.434,0.706,3.0,0.896,2,0.387,0.205,3527.13,61.87947368421053,52.1,57,6,2026-08-08,2026-03-25,35,22,25.04149794562822,9.5,0.6140350877192983,0.38596491228070173,21,57,3527.13,2,5,3,10,2,2,282562.21,141281.105,1,0,0,0,4,4,2,1,0,0.5,0.5,0.0,5,0.5660000000000001,2,1,0.4,0.5,0,16202.5,7.092732602993365,0.2700169726893998,0.01814087332201821,0.25,0.0,0.5717,0.44109999999999994,0.8683333333333334
C000006,47,6.5,69776,141956,3378.64,40,100.0,16.0,0.915,0.085,0.699,9.0,0.391,4,0.537,0.121,2981.82,74.5455,65.78999999999999,40,4,2026-08-13,2026-05-07,38,2,31.14334846463597,10.0,0.95,0.05,16,40,2981.82,2,3,3,8,4,4,96919.64,24229.91,1,1,0,1,6,6,4,0,0,0.6666666666666666,0.0,0.0,5,0.3406,1,0,0.2,0.0,0,5814.666666666667,2.0344531070855307,0.5810548039440495,0.04273417794083926,0.5,0.0,0.5023,0.5111,0.351
C000007,32,15.9,76951,592471,5312.78,19,276.22,31.9,0.841,0.159,0.491,4.0,0.414,5,0.277,-0.077,4203.53,221.23842105263157,175.4,19,5,2026-07-25,2026-03-01,18,1,129.24235594258815,3.8,0.9473684210526315,0.05263157894736842,35,19,4203.53,1,1,4,6,5,4,643928.14,128785.628,1,1,0,1,3,3,2,1,1,0.6666666666666666,0.5,1.0,2,0.179,1,1,0.5,1.0,0,6412.583333333333,7.69932814388377,0.8284929370638459,0.054626060739951396,0.625,0.0,0.36445,0.5206,0.6493333333333333
C000008,58,9.7,46477,111964,1000.0,7,162.03,180.0,0.768,0.232,0.12,1.0,0.105,2,0.19,0.017,772.02,110.28857142857143,94.08,7,3,2026-03-01,2026-01-13,5,2,47.52811814374428,2.3333333333333335,0.7142857142857143,0.2857142857142857,181,7,772.02,1,1,1,3,2,2,14983.98,7491.99,1,0,0,0,7,7,2,0,0,0.2857142857142857,0.0,0.0,3,0.126,1,1,0.3333333333333333,1.0,0,3873.0833333333335,2.409019515028939,0.2581922241108505,0.01661079673817157,0.25,0.0,0.09025,0.26949999999999996,0.07583333333333334
C000009,36,3.7,56869,61634,2813.65,38,100.0,8.6,0.719,0.281,0.213,10.0,0.206,4,0.506,-0.146,2406.59,63.331315789473685,54.595,38,5,2026-08-21,2026-04-04,30,8,33.06331307045438,7.6,0.7894736842105263,0.21052631578947367,8,38,2406.59,3,3,2,8,4,3,44092.95,11023.2375,1,1,0,0,6,6,4,1,0,0.6666666666666666,0.25,0.0,4,0.38225000000000003,0,0,0.0,0.0,0,4739.083333333333,1.0837890590655717,0.5937118641087412,0.042318134660359774,0.5,0.0,0.24735000000000001,0.5393,0.20008333333333334
C000010,51,13.7,46470,48989,1458.12,16,100.0,14.9,0.607,0.393,0.284,6.0,0.196,3,0.293,-0.265,1825.21,114.075625,98.975,16,5,2026-08-12,2026-01-30,13,3,56.41001683728993,3.2,0.8125,0.1875,17,16,1825.21,2,1,1,4,3,2,5210.95,1736.9833333333333,2,0,0,0,3,3,0,0,0,0.0,0.0,0.0,5,0.23620000000000002,0,0,0.0,0.0,0,3872.5,1.0542070152786744,0.3765319561007101,0.039277168065418554,0.375,0.0,0.2368,0.4254,0.07025
