customer_id,product_id,product_name,product_type,category,indicative_rate,minimum_value,priority,already_owned,eligible,annual_income,average_account_balance,monthly_spending,transaction_count,recency_days,digital_usage_score,products_held,engagement_score,average_suitability_score,recommendation_acceptance_rate,recommendation_conversion_rate,debit_ratio,credit_ratio,spending_trend,primary_segment,customer_persona,retention_risk,cross_sell_opportunity,genai_targeting_priority
C000001,P003,Rewards Credit Card,Credit Card,Cards,0.28,30000,2,True,False,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000001,P004,Personal Loan,Loan,Lending,0.115,75000,3,False,True,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000001,P005,Home Loan,Loan,Lending,0.082,500000,4,False,True,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000001,P006,Mutual Fund Plan,Investment,Wealth,0.1,10000,3,False,True,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000001,P007,Term Insurance,Insurance,Protection,0.0,500000,3,True,False,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000001,P008,Premium Banking,Banking,Premium,0.0,1000000,5,False,True,153580,237304,8123.64,50,1.2,0.724,3,0.738,0.5178,0.4,0.5,0.802,0.198,0.119,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000002,P003,Rewards Credit Card,Credit Card,Cards,0.28,30000,2,True,False,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000002,P004,Personal Loan,Loan,Lending,0.115,75000,3,False,True,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000002,P005,Home Loan,Loan,Lending,0.082,500000,4,False,True,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000002,P006,Mutual Fund Plan,Investment,Wealth,0.1,10000,3,False,True,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000002,P007,Term Insurance,Insurance,Protection,0.0,500000,3,True,False,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000002,P008,Premium Banking,Banking,Premium,0.0,1000000,5,False,True,40691,198154,1694.73,41,1.8,0.578,3,0.604,0.3309999999999999,0.25,0.0,0.686,0.314,0.112,Core Active,Core Relationship Customer,Low Risk,Low Cross-Sell Opportunity,Priority 3
C000003,P003,Rewards Credit Card,Credit Card,Cards,0.28,30000,2,True,False,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000003,P004,Personal Loan,Loan,Lending,0.115,75000,3,False,True,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000003,P005,Home Loan,Loan,Lending,0.082,500000,4,False,True,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000003,P006,Mutual Fund Plan,Investment,Wealth,0.1,10000,3,False,True,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000003,P007,Term Insurance,Insurance,Protection,0.0,500000,3,False,True,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000003,P008,Premium Banking,Banking,Premium,0.0,1000000,5,False,True,76144,118768,3134.01,38,4.4,0.488,2,0.504,0.294,1.0,0.0,0.722,0.278,0.181,Core Active,Core Relationship Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 3
C000004,P003,Rewards Credit Card,Credit Card,Cards,0.28,30000,2,True,False,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000004,P004,Personal Loan,Loan,Lending,0.115,75000,3,False,True,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000004,P005,Home Loan,Loan,Lending,0.082,500000,4,False,True,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000004,P006,Mutual Fund Plan,Investment,Wealth,0.1,10000,3,True,False,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000004,P007,Term Insurance,Insurance,Protection,0.0,500000,3,True,False,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
C000004,P008,Premium Banking,Banking,Premium,0.0,1000000,5,False,True,230937,791865,8689.07,48,3.7,0.847,3,0.612,0.727,0.0,0.0,0.715,0.285,0.064,Premium High-Value,Premium Digital Customer,Low Risk,Moderate Cross-Sell Opportunity,Priority 2
