customer_id,cluster_id,primary_segment,customer_persona,customer_value_score,value_band,transaction_intensity_score,transactional_behavior,digital_affinity_score,digital_affinity,engagement_level,relationship_status,relationship_depth,spending_behavior,marketing_response_score,marketing_responsiveness,cross_sell_score,cross_sell_opportunity,retention_risk_score,retention_risk,recommendation_readiness_score,recommendation_readiness,genai_priority_score,genai_targeting_priority,recommendation_context
C000001,3,Premium High-Value,Premium Digital Customer,0.6625,High,0.8208333333333333,Very High Transactional,0.7296,Highly Digital,Very High Engagement,Recently Active,Established Relationship,Growing Spender,0.5583333333333333,Responsive,0.6316616666666667,Moderate Cross-Sell Opportunity,0.08541666666666667,Low Risk,0.47123000000000004,Ready,0.609806,Priority 2,Premium High-Value | Premium Digital Customer | High Value | Highly Digital | Very High Transactional | Growing Spender | Established Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000002,1,Core Active,Core Relationship Customer,0.19916666666666666,Low,0.36625,Moderate Transactional,0.5883999999999999,Digitally Active,High Engagement,Recently Active,Established Relationship,Growing Spender,0.0875,Unresponsive,0.44082166666666667,Low Cross-Sell Opportunity,0.20729166666666665,Low Risk,0.20334999999999995,Needs Nurturing,0.3097298333333333,Priority 3,Core Active | Core Relationship Customer | Low Value | Digitally Active | Moderate Transactional | Growing Spender | Established Relationship | Low Cross-Sell Opportunity | Low Risk | Needs Nurturing
C000003,1,Core Active,Core Relationship Customer,0.35316666666666663,Medium,0.4920833333333333,Moderate Transactional,0.4944,Digitally Active,High Engagement,Recently Active,Developing Relationship,Growing Spender,0.31,Low Response,0.5008050000000001,Moderate Cross-Sell Opportunity,0.33095833333333335,Low Risk,0.45289999999999997,Ready,0.44534566666666664,Priority 3,Core Active | Core Relationship Customer | Medium Value | Digitally Active | Moderate Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Low Risk | Ready
C000004,3,Premium High-Value,Premium Digital Customer,0.8821666666666667,Very High,0.8108333333333333,Very High Transactional,0.753,Highly Digital,High Engagement,Recently Active,Established Relationship,Stable Spender,0.31,Low Response,0.6728416666666667,Moderate Cross-Sell Opportunity,0.1891666666666667,Low Risk,0.25444999999999995,Needs Nurturing,0.5408733333333333,Priority 2,Premium High-Value | Premium Digital Customer | Very High Value | Highly Digital | Very High Transactional | Stable Spender | Established Relationship | Moderate Cross-Sell Opportunity | Low Risk | Needs Nurturing
C000005,3,Premium High-Value,Premium Relationship Customer,0.8781666666666667,Very High,0.7841666666666667,Very High Transactional,0.5784,Digitally Active,Moderate Engagement,Active,Developing Relationship,Growing Spender,0.32499999999999996,Low Response,0.5979716666666667,Moderate Cross-Sell Opportunity,0.5122500000000001,Moderate Risk,0.4881,Ready,0.5469164999999999,Priority 2,Premium High-Value | Premium Relationship Customer | Very High Value | Digitally Active | Very High Transactional | Growing Spender | Developing Relationship | Moderate Cross-Sell Opportunity | Moderate Risk | Ready
C000006,1,Core Active,Core Relationship Customer,0.3570833333333333,Medium,0.54,High Transactional,0.6342,Digitally Active,High Engagement,Active,Established Relationship,Growing Spender,0.2333333333333333,Low Response,0.3862233333333333,Low Cross-Sell Opportunity,0.5114166666666666,Moderate Risk,0.18921,Low Readiness,0.31225699999999995,Priority 3,Core Active | Core Relationship Customer | Medium Value | Digitally Active | High Transactional | Growing Spender | Established Relationship | Low Cross-Sell Opportunity | Moderate Risk | Low Readiness
C000007,1,Core Active,Core Relationship Customer,0.6018333333333332,High,0.4525,Moderate Transactional,0.4054,Moderate Digital,Low Engagement,At Risk,Deep Relationship,Stable Spender,0.7333333333333333,Highly Responsive,0.33838833333333324,Low Cross-Sell Opportunity,0.8911666666666667,Critical Risk,0.53765,Ready,0.48375399999999996,Priority 3,Core Active | Core Relationship Customer | High Value | Moderate Digital | Moderate Transactional | Stable Spender | Deep Relationship | Low Cross-Sell Opportunity | Critical Risk | Ready
C000008,0,Dormant / Declining,Dormant Reactivation Target,0.07424999999999998,Low,0.03125,Low Transactional,0.14800000000000002,Low Digital,Low Engagement,Dormant,Developing Relationship,Stable Spender,0.09999999999999999,Unresponsive,0.22041666666666668,Low Cross-Sell Opportunity,0.834875,Critical Risk,0.46076666666666666,Ready,0.22896666666666665,Priority 4,Dormant / Declining | Dormant Reactivation Target | Low Value | Low Digital | Low Transactional | Stable Spender | Developing Relationship | Low Cross-Sell Opportunity | Critical Risk | Ready
C000009,1,Core Active,Core Relationship Customer,0.21691666666666667,Low,0.45625000000000004,Moderate Transactional,0.33020000000000005,Moderate Digital,High Engagement,Active,Established Relationship,Declining Spender,0.3083333333333333,Low Response,0.30422333333333335,Low Cross-Sell Opportunity,0.586125,High Risk,0.13378749999999998,Low Readiness,0.2603055416666667,Priority 4,Core Active | Core Relationship Customer | Low Value | Moderate Digital | Moderate Transactional | Declining Spender | Established Relationship | Low Cross-Sell Opportunity | High Risk | Low Readiness
C000010,1,Core Active,Core Relationship Customer,0.07158333333333333,Low,0.12166666666666667,Low Transactional,0.28759999999999997,Moderate Digital,Low Engagement,Active,Established Relationship,Declining Spender,0.0,Unresponsive,0.23465333333333332,Low Cross-Sell Opportunity,0.8289166666666667,Critical Risk,0.08267,Low Readiness,0.11890933333333331,Priority 4,Core Active | Core Relationship Customer | Low Value | Moderate Digital | Low Transactional | Declining Spender | Established Relationship | Low Cross-Sell Opportunity | Critical Risk | Low Readiness
C000011,1,Core Active,Core Digital Customer,0.20675,Low,0.16,Low Transactional,0.7196,Highly Digital,High Engagement,Active,Shallow Relationship,Declining Spender,0.5583333333333333,Responsive,0.5645533333333334,Moderate Cross-Sell Opportunity,0.5788333333333333,High Risk,0.31325,Needs Nurturing,0.43247433333333335,Priority 3,Core Active | Core Digital Customer | Low Value | Highly Digital | Low Transactional | Declining Spender | Shallow Relationship | Moderate Cross-Sell Opportunity | High Risk | Needs Nurturing
