customer_id,age,customer_tenure_years,annual_income,average_account_balance,monthly_spending,transaction_count,average_transaction_amount,recency_days,debit_ratio,credit_ratio,digital_usage_score,mobile_app_login_frequency,digital_transaction_ratio,products_held,engagement_score,spending_trend
C000001,22,6.5,153580,237304,8123.64,50,183.03,1.2,0.802,0.198,0.724,17.0,0.48,3,0.738,0.119
C000002,22,2.0,40691,198154,1694.73,41,100.0,1.8,0.686,0.314,0.578,2.0,0.398,3,0.604,0.112
C000003,56,3.3,76144,118768,3134.01,38,100.27,4.4,0.722,0.278,0.488,18.0,0.513,2,0.504,0.181
C000004,47,6.9,230937,791865,8689.07,48,204.95,3.7,0.715,0.285,0.847,15.0,0.568,3,0.612,0.064
C000005,21,7.7,194430,1379040,4374.95,57,100.0,21.0,0.566,0.434,0.706,3.0,0.896,2,0.387,0.205
C000006,47,6.5,69776,141956,3378.64,40,100.0,16.0,0.915,0.085,0.699,9.0,0.391,4,0.537,0.121
C000007,32,15.9,76951,592471,5312.78,19,276.22,31.9,0.841,0.159,0.491,4.0,0.414,5,0.277,-0.077
C000008,58,9.7,46477,111964,1000.0,7,162.03,180.0,0.768,0.232,0.12,1.0,0.105,2,0.19,0.017
C000009,36,3.7,56869,61634,2813.65,38,100.0,8.6,0.719,0.281,0.213,10.0,0.206,4,0.506,-0.146
C000010,51,13.7,46470,48989,1458.12,16,100.0,14.9,0.607,0.393,0.284,6.0,0.196,3,0.293,-0.265
C000011,49,4.8,33360,328453,1000.0,29,100.0,8.3,0.792,0.208,0.802,12.0,0.527,1,0.596,-0.189
C000012,68,5.3,255850,432737,14227.09,50,311.0,6.3,0.759,0.241,0.569,14.0,0.506,5,0.712,-0.049
C000013,40,6.8,95948,499625,2401.29,43,100.0,6.4,0.751,0.249,0.776,13.0,0.644,3,0.657,0.065
C000014,29,4.2,132824,453514,5065.06,61,100.0,20.2,0.717,0.283,0.879,14.0,0.675,6,0.753,-0.029
C000015,42,8.0,45253,150135,1462.64,30,100.0,12.8,0.651,0.349,0.876,15.0,0.871,1,0.622,-0.048
C000016,54,2.0,66693,167247,1916.31,41,100.0,3.8,0.815,0.185,0.608,18.0,0.602,2,0.521,0.114
C000017,51,12.0,57612,213731,1307.3,8,275.31,171.3,0.531,0.469,0.011,0.0,0.095,1,0.241,-0.374
C000018,58,9.1,126100,770007,6929.81,38,209.64,11.9,0.595,0.405,0.229,0.0,0.142,2,0.625,-0.155
C000019,37,5.0,98437,287488,2643.41,19,175.45,57.2,0.453,0.547,0.584,14.0,0.604,1,0.468,-0.175
C000020,48,7.8,61315,284984,2207.99,41,100.0,14.4,0.775,0.225,0.771,17.0,0.579,4,0.642,0.025
C000021,41,15.9,63249,357628,3019.08,46,100.0,4.0,0.775,0.225,0.408,7.0,0.388,2,0.543,-0.19
C000022,60,3.3,40295,43404,1000.0,13,100.0,52.9,0.627,0.373,0.467,11.0,0.617,1,0.239,0.029
C000023,51,7.1,96216,470785,4264.49,45,107.06,3.0,0.732,0.268,0.59,14.0,0.4,2,0.709,0.104
C000024,45,5.0,308975,777550,17535.09,63,360.92,17.6,0.527,0.473,0.767,8.0,0.619,5,0.748,0.136
C000025,42,1.5,68284,558854,4263.61,52,100.0,6.1,0.658,0.342,0.617,9.0,0.347,1,0.532,-0.005
C000026,46,4.8,272967,1842434,15579.77,53,255.0,6.5,0.519,0.481,0.935,17.0,0.582,4,0.616,-0.019
C000027,24,4.4,93685,184061,4179.14,15,326.64,66.1,0.435,0.565,0.355,14.0,0.432,1,0.24,-0.282
C000028,35,7.2,202585,1332176,10943.6,45,260.44,7.7,0.606,0.394,0.85,18.0,0.98,3,0.708,0.255
C000029,48,10.9,112506,485476,3445.04,29,123.79,22.1,0.671,0.329,0.359,9.0,0.397,2,0.647,-0.1
C000030,36,15.5,68116,249769,2288.26,4,614.67,89.2,0.892,0.108,0.209,3.0,0.025,3,0.19,-0.182
C000031,51,5.7,74331,399427,2408.89,19,149.58,34.8,0.665,0.335,0.413,6.0,0.611,1,0.281,-0.095
C000032,52,9.9,46478,501856,1963.89,22,127.38,10.2,0.711,0.289,0.836,8.0,0.577,1,0.474,-0.007
C000033,37,16.7,41887,79932,1396.97,19,108.58,82.1,0.592,0.408,0.46,14.0,0.435,1,0.254,-0.075
C000034,43,2.2,77898,475689,3891.82,50,105.21,11.2,0.641,0.359,0.436,10.0,0.27,4,0.424,-0.031
C000035,21,6.9,83077,144661,3032.34,29,107.9,0.7,0.782,0.218,0.645,15.0,0.329,2,0.554,-0.186
C000036,58,7.1,56817,250642,1670.93,25,100.0,7.4,0.551,0.449,0.578,9.0,0.331,2,0.624,0.036
C000037,34,4.5,131405,108884,5045.4,59,100.0,17.5,0.746,0.254,0.781,9.0,0.608,1,0.677,0.063
C000038,53,4.0,66486,461713,2430.01,44,100.0,15.5,0.801,0.199,0.866,14.0,0.609,1,0.71,0.042
C000039,37,3.9,80647,485127,3727.03,29,126.49,7.2,0.804,0.196,0.34,5.0,0.385,2,0.448,0.155
C000040,41,11.5,49918,56434,3349.04,41,100.0,18.2,0.799,0.201,0.77,18.0,0.8,3,0.6,-0.295
C000041,35,7.2,55005,245757,2158.21,28,100.0,3.5,0.861,0.139,0.348,9.0,0.5,1,0.496,0.034
C000042,70,6.4,128787,1037094,4962.85,42,100.0,6.7,0.722,0.278,0.652,13.0,0.471,5,0.638,-0.077
C000043,25,4.5,115765,629061,4951.26,45,105.21,4.4,0.662,0.338,0.644,18.0,0.522,2,0.481,-0.03
C000044,35,10.1,224914,664091,13916.36,54,198.12,13.8,0.653,0.347,0.766,8.0,0.536,5,0.94,-0.071
C000045,55,6.1,52723,401578,2981.14,44,100.0,1.0,0.684,0.316,0.397,12.0,0.282,2,0.664,-0.04
C000046,36,16.8,104648,967901,3560.45,48,116.29,9.8,0.742,0.258,0.379,9.0,0.106,3,0.564,-0.143
C000047,57,7.1,86099,365050,3409.69,32,141.04,10.8,0.73,0.27,0.689,20.0,0.561,2,0.496,0.086
C000048,30,2.1,47472,311560,1653.61,26,100.0,0.1,0.621,0.379,0.636,8.0,0.573,1,0.488,0.015
C000049,23,6.4,200412,197133,7672.27,49,100.0,22.1,0.594,0.406,0.581,15.0,0.475,4,0.702,0.18
C000050,37,7.3,57359,72119,1904.84,19,100.0,7.2,0.408,0.592,0.134,10.0,0.25,2,0.633,-0.215
C000051,41,6.8,88764,484908,3571.59,37,105.13,14.6,0.723,0.277,0.568,6.0,0.451,3,0.558,-0.201
C000052,39,5.3,42552,85458,1252.19,27,100.0,24.7,0.859,0.141,0.601,14.0,0.247,1,0.483,0.009
C000053,38,10.1,54924,376121,3300.94,48,100.0,1.4,0.525,0.475,0.552,10.0,0.543,2,0.713,0.163
C000054,37,3.7,114918,348817,5793.47,47,100.0,8.1,0.775,0.225,0.69,18.0,0.644,2,0.62,-0.077
C000055,33,6.6,89759,252562,4318.24,42,101.62,7.8,0.857,0.143,0.805,11.0,0.466,2,0.719,0.224
C000056,40,2.2,78353,183785,2904.8,42,109.92,2.1,0.856,0.144,0.578,12.0,0.568,2,0.668,0.012
C000057,50,6.2,60590,491047,2530.06,24,116.41,14.1,0.644,0.356,0.868,14.0,0.593,2,0.434,0.007
C000058,48,6.2,51697,102501,1758.16,19,100.0,11.8,0.743,0.257,0.628,13.0,0.534,3,0.602,-0.105
C000059,34,7.0,104581,123696,3391.93,53,100.0,8.4,0.629,0.371,0.998,18.0,0.663,3,0.787,-0.013
C000060,45,16.9,109380,299489,5537.01,37,141.05,14.8,0.617,0.383,0.574,7.0,0.419,3,0.669,-0.137
C000061,28,8.1,44549,158536,1518.05,14,108.28,42.0,0.693,0.307,0.468,18.0,0.224,1,0.425,0.095
C000062,38,8.4,146030,1839596,9350.3,56,170.63,27.5,0.832,0.168,1.0,16.0,0.784,1,0.565,-0.082
C000063,46,10.6,63559,565185,4146.43,46,102.09,7.1,0.55,0.45,0.398,5.0,0.138,5,0.676,-0.071
C000064,36,2.7,71050,405204,2209.45,33,100.0,2.4,0.89,0.11,0.593,5.0,0.364,1,0.616,0.167
C000065,53,8.0,32962,216370,1000.0,30,100.0,3.3,0.596,0.404,0.952,19.0,0.595,1,0.577,-0.063
