recommendation_id,customer_id,product_id,recommendation_date,suitability_score,accepted,converted
R000001_01,C000001,P003,2026-06-13,0.438,0,0
R000001_02,C000001,P005,2026-03-29,0.452,0,0
R000001_03,C000001,P007,2026-02-11,0.632,1,0
R000001_04,C000001,P001,2026-07-25,0.557,1,1
R000001_05,C000001,P004,2026-06-14,0.51,0,0
R000002_01,C000002,P008,2026-08-07,0.356,0,0
R000002_02,C000002,P006,2026-06-27,0.432,0,0
R000002_03,C000002,P002,2026-05-16,0.411,1,0
R000002_04,C000002,P006,2026-07-29,0.125,0,0
R000003_01,C000003,P001,2026-06-13,0.339,1,0
R000003_02,C000003,P002,2026-08-01,0.249,1,0
R000004_01,C000004,P006,2026-02-14,0.691,0,0
R000004_02,C000004,P003,2026-06-22,0.763,0,0
R000005_01,C000005,P003,2026-05-23,0.67,1,1
R000005_02,C000005,P001,2026-07-19,0.482,1,0
R000005_03,C000005,P003,2026-03-11,0.455,0,0
R000005_04,C000005,P008,2026-07-26,0.642,0,0
R000005_05,C000005,P004,2026-08-05,0.581,0,0
R000006_01,C000006,P003,2026-06-24,0.125,0,0
R000006_02,C000006,P001,2026-03-31,0.399,0,0
R000006_03,C000006,P002,2026-06-10,0.383,1,0
R000006_04,C000006,P008,2026-02-19,0.314,0,0
R000006_05,C000006,P008,2026-06-09,0.482,0,0
R000007_01,C000007,P007,2026-05-08,0.183,1,1
R000007_02,C000007,P004,2026-06-29,0.175,0,0
R000008_01,C000008,P006,2026-03-13,0.102,0,0
R000008_02,C000008,P006,2026-04-20,0.276,1,1
R000008_03,C000008,P008,2026-06-24,0.0,0,0
R000009_01,C000009,P004,2026-05-06,0.137,0,0
R000009_02,C000009,P002,2026-05-03,0.512,0,0
R000009_03,C000009,P002,2026-03-18,0.657,0,0
R000009_04,C000009,P008,2026-04-17,0.223,0,0
R000010_01,C000010,P001,2026-04-20,0.26,0,0
R000010_02,C000010,P008,2026-06-16,0.185,0,0
R000010_03,C000010,P004,2026-05-04,0.124,0,0
R000010_04,C000010,P002,2026-04-15,0.348,0,0
R000010_05,C000010,P005,2026-02-19,0.264,0,0
