transaction_id,customer_id,transaction_date,transaction_type,amount,channel,merchant_category
T000001_001,C000001,2026-07-11,Credit,290.92,Mobile App,Travel
T000001_002,C000001,2026-07-18,Debit,81.62,Branch,Travel
T000001_003,C000001,2026-08-27,Debit,120.54,ATM,Other
T000001_004,C000001,2026-07-29,Debit,187.67,Mobile App,Investment
T000001_005,C000001,2026-08-23,Debit,185.41,Mobile App,Bills
T000001_006,C000001,2026-07-13,Debit,115.63,Mobile App,Other
T000001_007,C000001,2026-07-04,Debit,117.74,Mobile App,Bills
T000001_008,C000001,2026-07-29,Debit,123.99,Branch,Bills
T000001_009,C000001,2026-08-27,Credit,196.2,Mobile App,Travel
T000001_010,C000001,2026-08-10,Debit,125.88,ATM,Cash
T000001_011,C000001,2026-08-24,Debit,77.86,ATM,Cash
T000001_012,C000001,2026-08-25,Debit,173.75,Mobile App,Shopping
T000001_013,C000001,2026-08-18,Debit,245.63,Mobile App,Transfer
T000001_014,C000001,2026-05-21,Debit,211.14,Internet Banking,Food
T000001_015,C000001,2026-08-23,Debit,137.6,Internet Banking,Cash
T000001_016,C000001,2026-08-17,Credit,112.51,Mobile App,Investment
T000001_017,C000001,2026-08-18,Debit,359.14,ATM,Investment
T000001_018,C000001,2026-08-07,Credit,133.6,Mobile App,Investment
T000001_019,C000001,2026-07-26,Debit,318.4,Mobile App,Transfer
T000001_020,C000001,2026-07-02,Debit,104.89,Mobile App,Bills
T000001_021,C000001,2026-08-24,Debit,214.58,Internet Banking,Travel
T000001_022,C000001,2026-07-27,Debit,149.45,Internet Banking,Cash
T000001_023,C000001,2026-07-02,Debit,52.19,Mobile App,Food
T000001_024,C000001,2026-07-20,Debit,142.38,Internet Banking,Travel
T000001_025,C000001,2026-05-26,Debit,265.28,POS,Travel
T000001_026,C000001,2026-06-22,Debit,165.51,Branch,Cash
T000001_027,C000001,2026-08-28,Debit,65.14,Mobile App,Cash
T000001_028,C000001,2026-08-27,Debit,81.15,POS,Bills
T000001_029,C000001,2026-06-02,Debit,170.51,Mobile App,Food
T000001_030,C000001,2026-08-14,Debit,107.61,Mobile App,Transfer
T000001_031,C000001,2026-08-20,Credit,391.91,Mobile App,Food
T000001_032,C000001,2026-08-09,Debit,280.42,Mobile App,Cash
T000001_033,C000001,2026-05-21,Debit,136.54,Mobile App,Bills
